STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,1/18/73,0,0,0,62,21,56
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,1/18/73,0,0,0,61,28,54
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,1/19/73,0.25,0,0,65,40,56
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,1/19/73,0.31,0,0,64,38,54
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,1/19/73,0.28,0,0,64,45,53
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,1/20/73,0.08,0,0,56,31,41
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,1/20/73,0.02,0,0,54,36,39
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,1/20/73,0,0,0,53,36,38
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,1/21/73,0,0,0,48,22,44
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,1/21/73,0,0,0,47,23,44
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,1/21/73,0,0,0,47,24,39
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,1/22/73,0.51,0,0,60,30,58
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,1/22/73,1.04,0,0,61,34,61
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,1/22/73,0.63,0,0,60,34,59
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,1/23/73,0,0,0,61,44,51
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,1/23/73,0.04,0,0,61,39,59
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,1/23/73,0,0,0,61,47,49
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,1/24/73,0,0,0,52,36,41
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,1/24/73,0,0,0,59,33,39
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,1/24/73,0,0,0,50,36,40
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,1/25/73,0,0,0,55,22,54
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,1/25/73,0,0,0,55,22,52
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,1/25/73,0,0,0,54,26,50
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,1/26/73,0,0,0,64,29,61
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,1/26/73,0,0,0,64,28,59
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,1/26/73,0,0,0,62,38,57
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,1/27/73,0.59,0,0,63,39,45
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,1/27/73,0.47,0,0,59,40,45
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,1/27/73,0.51,0,0,57,39,44
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,1/28/73,0,0,0,49,40,46
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,1/28/73,0.1,0,0,49,39,46
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,1/28/73,0.2,0,0,50,40,44
